Date : 2021-06-24 10:56:01
Directory : c:\Users\kk\Desktop\outstanding-crm-front\src
Total : 321 files,  38319 codes, 640 comments, 3504 blanks, all 42463 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        142 |     15,072 |        406 |      1,728 |     17,206 |
| CSS        |        118 |     10,795 |         58 |      1,573 |     12,426 |
| XML        |          2 |      5,342 |          0 |          2 |      5,344 |
| SCSS       |         31 |      3,594 |         88 |        105 |      3,787 |
| Less       |         28 |      3,516 |         88 |         96 |      3,700 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                   |        321 |     38,319 |        640 |      3,504 |     42,463 |
| Protable                                                                                                                                                                            |          2 |         37 |          0 |          7 |         44 |
| PublicComponents                                                                                                                                                                    |        170 |     18,690 |        348 |      1,645 |     20,683 |
| PublicComponents\Creatpopover                                                                                                                                                       |          4 |         86 |          0 |         15 |        101 |
| PublicComponents\backstageMgt                                                                                                                                                       |         76 |     14,510 |        267 |      1,161 |     15,938 |
| PublicComponents\backstageMgt\component                                                                                                                                             |         74 |     14,494 |        267 |      1,155 |     15,916 |
| PublicComponents\backstageMgt\component\homepage                                                                                                                                    |          7 |        328 |         13 |         61 |        402 |
| PublicComponents\backstageMgt\component\homepage\component                                                                                                                          |          5 |        220 |         13 |         32 |        265 |
| PublicComponents\backstageMgt\component\homepage\component\menulayout                                                                                                               |          5 |        220 |         13 |         32 |        265 |
| PublicComponents\backstageMgt\component\homepage\component\menulayout\component                                                                                                     |          3 |        110 |         13 |         19 |        142 |
| PublicComponents\backstageMgt\component\homepage\component\menulayout\component\popover                                                                                             |          1 |         27 |         12 |         10 |         49 |
| PublicComponents\backstageMgt\component\homepage\component\menulayout\component\uploadimg                                                                                           |          2 |         83 |          1 |          9 |         93 |
| PublicComponents\backstageMgt\component\rolecontrol                                                                                                                                 |         51 |     13,158 |        216 |        966 |     14,340 |
| PublicComponents\backstageMgt\component\rolecontrol\component                                                                                                                       |         47 |     13,003 |        213 |        926 |     14,142 |
| PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0                                                                                                    |         32 |     10,817 |        112 |        810 |     11,739 |
| PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\css                                                                                                |          2 |      2,328 |         13 |          2 |      2,343 |
| PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\fonts                                                                                              |          1 |      2,671 |          0 |          1 |      2,672 |
| PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\less                                                                                               |         14 |      1,758 |         44 |         48 |      1,850 |
| PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\scss                                                                                               |         15 |      4,060 |         55 |        759 |      4,874 |
| PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction                                                                                                          |         13 |      2,031 |         93 |         88 |      2,212 |
| PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\customer                                                                                                 |          3 |        475 |         18 |         23 |        516 |
| PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\customer\component                                                                                       |          1 |        136 |          4 |          4 |        144 |
| PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\office                                                                                                   |          3 |        478 |         19 |         22 |        519 |
| PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\project                                                                                                  |          3 |        466 |         19 |         22 |        507 |
| PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\system                                                                                                   |          3 |        612 |         19 |         20 |        651 |
| PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\system\components                                                                                        |          1 |        332 |         16 |         15 |        363 |
| PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\system\components\systemMgt                                                                              |          1 |        332 |         16 |         15 |        363 |
| PublicComponents\backstageMgt\component\rolecontrol\component\menulayout                                                                                                            |          2 |        155 |          8 |         28 |        191 |
| PublicComponents\backstageMgt\component\rolecontrol\menulayout                                                                                                                      |          2 |        122 |          0 |         32 |        154 |
| PublicComponents\backstageMgt\component\staff&department                                                                                                                            |         14 |        954 |         37 |        126 |      1,117 |
| PublicComponents\backstageMgt\component\staff&department\component                                                                                                                  |         12 |        730 |         37 |         84 |        851 |
| PublicComponents\backstageMgt\component\staff&department\component\Paging                                                                                                           |          2 |        113 |         18 |         11 |        142 |
| PublicComponents\backstageMgt\component\staff&department\component\alertform                                                                                                        |          4 |        265 |         13 |         23 |        301 |
| PublicComponents\backstageMgt\component\staff&department\component\alertform\component                                                                                              |          2 |         70 |         13 |         11 |         94 |
| PublicComponents\backstageMgt\component\staff&department\component\alertform\component\cascader                                                                                     |          2 |         70 |         13 |         11 |         94 |
| PublicComponents\backstageMgt\component\staff&department\component\menulayout                                                                                                       |          2 |         97 |          5 |         27 |        129 |
| PublicComponents\backstageMgt\component\staff&department\component\sdcontent                                                                                                        |          2 |        146 |          0 |         10 |        156 |
| PublicComponents\backstageMgt\component\staff&department\component\sdtable                                                                                                          |          2 |        109 |          1 |         13 |        123 |
| PublicComponents\backstageMgt\component\top                                                                                                                                         |          2 |         54 |          1 |          2 |         57 |
| PublicComponents\customerMgt                                                                                                                                                        |         64 |      1,938 |         36 |        315 |      2,289 |
| PublicComponents\customerMgt\components                                                                                                                                             |         18 |        541 |         14 |         71 |        626 |
| PublicComponents\customerMgt\components\Alertmodal                                                                                                                                  |          6 |        112 |          0 |         24 |        136 |
| PublicComponents\customerMgt\components\Alertmodal\component                                                                                                                        |          4 |         79 |          0 |         15 |         94 |
| PublicComponents\customerMgt\components\Alertmodal\component\searchtabs                                                                                                             |          2 |         28 |          0 |          8 |         36 |
| PublicComponents\customerMgt\components\Alertmodal\component\searchtransfer                                                                                                         |          2 |         51 |          0 |          7 |         58 |
| PublicComponents\customerMgt\components\Creatpopover                                                                                                                                |          4 |         86 |          0 |         15 |        101 |
| PublicComponents\customerMgt\components\Drawercomponent                                                                                                                             |          2 |        145 |          0 |          7 |        152 |
| PublicComponents\customerMgt\components\ParentMenu                                                                                                                                  |          2 |         50 |          0 |          6 |         56 |
| PublicComponents\customerMgt\components\sdtable                                                                                                                                     |          2 |         98 |         14 |         12 |        124 |
| PublicComponents\customerMgt\components\searchtransfer                                                                                                                              |          2 |         50 |          0 |          7 |         57 |
| PublicComponents\customerMgt\menulayout                                                                                                                                             |         44 |      1,380 |         22 |        232 |      1,634 |
| PublicComponents\customerMgt\menulayout\component                                                                                                                                   |         42 |      1,261 |         21 |        218 |      1,500 |
| PublicComponents\customerMgt\menulayout\component\bO                                                                                                                                |          2 |         15 |          0 |          6 |         21 |
| PublicComponents\customerMgt\menulayout\component\clue                                                                                                                              |          2 |        406 |          2 |         50 |        458 |
| PublicComponents\customerMgt\menulayout\component\contacts                                                                                                                          |          2 |         15 |          0 |          6 |         21 |
| PublicComponents\customerMgt\menulayout\component\contract                                                                                                                          |          2 |         15 |          0 |          6 |         21 |
| PublicComponents\customerMgt\menulayout\component\customer                                                                                                                          |          2 |         15 |          0 |          6 |         21 |
| PublicComponents\customerMgt\menulayout\component\dashboardlayout                                                                                                                   |         24 |        365 |         17 |         76 |        458 |
| PublicComponents\customerMgt\menulayout\component\dashboardlayout\component                                                                                                         |         22 |        263 |         16 |         54 |        333 |
| PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\footleft                                                                                                |          2 |          8 |          0 |          5 |         13 |
| PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\footright                                                                                               |          2 |          8 |          0 |          5 |         13 |
| PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft                                                                                                 |         16 |        239 |         16 |         39 |        294 |
| PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component                                                                                       |         14 |        195 |         16 |         31 |        242 |
| PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\BO                                                                                    |          2 |         11 |          0 |          3 |         14 |
| PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\contacts                                                                              |          2 |         11 |          0 |          3 |         14 |
| PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\contract                                                                              |          2 |         11 |          0 |          3 |         14 |
| PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\customer                                                                              |          4 |        140 |         16 |         16 |        172 |
| PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\customer\component                                                                    |          2 |         94 |          0 |          4 |         98 |
| PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\customer\component\alerttable                                                         |          2 |         94 |          0 |          4 |         98 |
| PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\followup                                                                              |          2 |         11 |          0 |          3 |         14 |
| PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\statebo                                                                               |          2 |         11 |          0 |          3 |         14 |
| PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topright                                                                                                |          2 |          8 |          0 |          5 |         13 |
| PublicComponents\customerMgt\menulayout\component\opensea                                                                                                                           |          2 |         15 |          0 |          6 |         21 |
| PublicComponents\customerMgt\menulayout\component\payment                                                                                                                           |          2 |         15 |          0 |          6 |         21 |
| PublicComponents\customerMgt\menulayout\component\prodocutTable                                                                                                                     |          2 |        385 |          2 |         50 |        437 |
| PublicComponents\customerMgt\menulayout\component\todolist                                                                                                                          |          2 |         15 |          0 |          6 |         21 |
| PublicComponents\login                                                                                                                                                              |          2 |        148 |          2 |          5 |        155 |
| PublicComponents\office                                                                                                                                                             |         16 |      1,638 |         42 |         84 |      1,764 |
| PublicComponents\office\calendar                                                                                                                                                    |          2 |        402 |         16 |         18 |        436 |
| PublicComponents\office\menu                                                                                                                                                        |          5 |        168 |          0 |         16 |        184 |
| PublicComponents\office\menu\right                                                                                                                                                  |          3 |         66 |          0 |          5 |         71 |
| PublicComponents\office\task                                                                                                                                                        |          4 |        464 |         13 |         24 |        501 |
| PublicComponents\office\work                                                                                                                                                        |          4 |        595 |         13 |         25 |        633 |
| PublicComponents\office\work\middle                                                                                                                                                 |          2 |        154 |          0 |          7 |        161 |
| PublicComponents\office\work\right                                                                                                                                                  |          2 |        441 |         13 |         18 |        472 |
| PublicComponents\personInfo                                                                                                                                                         |          6 |        274 |          1 |         49 |        324 |
| PublicComponents\personInfo\components                                                                                                                                              |          4 |        148 |          1 |         29 |        178 |
